total_rooms,total_bedrooms,population,households
1185,202,615,191
2007,301,1135,332
1568,283,848,245
2652,606,1767,536
2494,414,1416,421
2183,307,1000,287
1687,507,762,451
1152,208,621,208
2321,367,1173,360
1534,235,871,222
1413,279,803,277
1278,217,653,185
935,177,649,148
1960,389,1691,356
583,113,531,134
2322,573,2185,602
1266,275,1083,298
3414,666,2097,622
3631,913,3565,924
2159,492,1694,475
1523,440,1302,393
2872,610,2644,581
2804,581,2807,594
290,94,135,57
245,57,81,33
208,49,51,20
1134,280,329,158
414,86,98,54
1996,515,659,295
1945,536,515,273
186,43,41,21
240,46,63,24
459,95,160,73
1210,248,329,155
322,81,112,57
99,25,37,17
96,18,30,16
796,243,227,139
1183,363,374,127
749,238,476,169
1586,448,338,182
44,33,64,27
2570,820,1431,608
1448,378,949,300
1388,386,775,320
3806,794,1501,714
2460,405,1225,425
2682,518,1134,399
1468,283,721,270
3135,524,1385,523
3302,557,1413,520
2281,520,1425,465
2465,619,1172,575
3295,824,1477,770
1813,410,902,396
3480,673,1541,636
99,26,51,22
2563,530,861,371
2090,478,896,426
2311,487,1019,384
1709,439,632,292
619,239,490,164
1372,386,436,213
2271,458,1124,447
1628,352,754,334
2952,598,1491,568
3520,604,1748,582
2133,487,1182,438
3415,631,1527,597
2033,370,956,379
1089,226,520,218
2044,447,1021,374
1912,439,1015,413
1705,418,905,393
1808,435,1005,373
1691,402,913,358
1992,421,1006,419
2353,483,1368,455
2534,554,1297,517
2221,516,1106,473
1761,443,911,365
1577,310,844,309
2348,701,1413,611
2608,620,1566,583
3268,833,1622,758
4159,608,2089,591
3889,832,1872,731
3449,522,1754,551
154,,37,16
254,35,118,37
1894,319,846,317
6435,1040,3242,1030
8739,2190,4781,1919
1820,459,1134,419
790,224,426,208
227,75,169,101
2225,392,890,374
1908,331,789,321
2250,378,928,379
2839,516,1203,487
1373,284,648,300
1896,315,937,303
1859,323,854,309
813,171,440,170
1443,273,680,259
1864,331,1052,325
1482,266,640,274
4667,875,2404,841
3548,729,1542,659
4483,894,2136,883
2473,400,1271,427
5624,1148,2842,1042
2047,347,888,352
2220,388,906,373
2417,435,973,406
4800,831,2365,743
2594,478,1419,480
3122,579,1733,545
3999,727,1889,688
5548,941,2815,935
3074,452,1223,452
3137,417,1318,397
4656,971,2320,935
3216,526,1539,483
3587,774,1398,763
2458,433,1352,411
4121,755,2590,721
1351,255,762,253
3589,701,1746,640
2412,446,1558,421
3372,741,2352,704
1106,252,790,230
1672,359,1059,349
1667,362,971,335
1475,327,946,295
1463,339,1066,318
1603,374,1026,337
2121,433,1547,441
1361,363,1483,297
1497,383,1182,355
1185,358,1038,299
2396,602,1781,543
1673,426,1041,413
1317,374,1025,304
1390,361,1116,298
1812,457,1592,420
1807,465,1460,410
1020,247,795,228
1171,299,1193,273
2228,542,1516,435
1438,348,1054,341
2805,573,1325,522
607,177,476,143
2620,682,2375,684
303,78,216,80
832,198,814,174
918,220,743,222
825,179,670,181
425,119,380,97
434,110,274,86
114,26,158,26
120,35,477,41
593,136,364,121
90,35,36,31
346,92,129,63
191,52,106,49
629,143,568,139
2122,394,843,410
1695,290,540,260
1503,367,554,277
1618,310,667,300
4513,764,1593,763
1942,414,1051,411
4635,800,2307,754
4507,1049,2261,959
5254,894,2155,831
6442,1116,2966,1092
1228,234,409,212
2508,483,1035,442
1944,363,977,388
1533,312,771,306
1637,338,714,297
2687,620,1521,549
1833,396,947,363
1631,340,847,315
2551,594,1342,595
1702,380,1191,366
1838,388,1203,373
2658,626,1490,529
1941,484,1277,435
821,181,579,172
850,227,764,186
896,217,805,197
1164,277,992,284
1021,280,1258,239
1562,398,1223,329
1244,266,933,227
1482,338,1059,279
1524,354,1210,344
1498,359,1168,340
2714,512,1823,500
2294,508,1753,482
1025,259,874,236
2285,497,1738,480
1379,333,1156,315
1418,306,1219,312
3480,608,2007,541
496,131,511,124
1615,355,1380,332
1590,367,1311,390
875,199,567,204
2931,716,1969,588
1293,317,1109,286
1354,325,922,304
1730,343,782,278
1239,251,776,272
598,149,366,132
1472,305,670,282
1463,294,692,295
3474,645,1679,616
1441,294,695,275
1607,336,817,307
4590,897,2212,894
9351,2139,4584,1953
3580,984,1933,912
12707,2685,7009,2552
2387,437,1204,423
4119,865,1294,879
4201,786,1667,724
8574,1489,4250,1444
4597,1071,1916,870
4070,512,1580,540
892,129,331,135
2113,256,842,265
1535,238,768,236
1474,235,768,238
6640,898,3121,902
11609,2141,5696,2100
7085,1148,3084,1052
3944,746,2355,757
9027,1901,4870,1797
5264,1064,3278,1049
2861,510,1375,486
3691,826,2072,827
3057,698,1627,680
2221,436,1131,408
973,219,613,187
1120,255,677,213
991,221,620,207
3068,628,1897,607
2053,412,1193,387
1650,390,1145,343
1576,405,870,282
2248,434,1461,405
1337,275,767,273
2821,519,1353,495
37,11,34,8
7035,1455,3525,1387
2161,371,1267,388
2721,549,1294,523
2927,588,1821,561
10822,1994,6241,1906
829,146,447,173
7397,1369,4611,1310
4870,965,2717,928
7092,1517,4101,1436
8596,1597,4893,1520
3081,635,1830,591
6268,1003,3269,980
80,16,66,21
7011,1453,4163,1307
282,59,213,71
444,102,242,87
806,168,323,136
3278,762,1338,550
2817,604,1089,412
8733,1600,2006,736
4054,787,1581,579
508,111,229,84
2213,458,1250,440
973,183,500,177
890,172,483,170
3827,696,1993,617
116,20,39,18
3437,696,1783,608
4164,812,1998,773
2943,,1565,584
4190,690,1973,702
5050,964,2293,919
1440,309,808,294
2745,543,1423,482
4599,877,2140,831
2167,421,1301,394
2585,480,1442,424
5589,941,3018,917
984,176,451,170
1264,202,552,187
2835,471,1399,413
7383,1095,3415,1059
1521,269,706,279
2044,394,894,359
4527,713,2170,671
1253,259,932,249
786,194,573,134
2649,572,1815,547
2536,409,1133,430
1367,329,796,319
1089,179,544,190
1923,379,1101,351
3107,782,3260,738
2171,483,1315,450
2304,437,1506,403
1584,309,1011,268
510,84,236,73
1657,362,1186,376
3240,654,1809,616
2143,488,1732,509
2703,683,2682,675
2719,502,1497,457
3085,691,2645,676
820,239,1345,207
2403,483,1647,415
735,137,421,113
3938,789,3500,768
1476,220,902,205
1885,398,1539,388
2874,677,3078,651
3216,750,2639,709
1513,342,1346,323
1618,378,1449,398
2332,656,2175,610
1598,443,1658,417
3271,797,2700,688
1927,386,1371,414
1612,343,1230,330
2862,606,2467,600
1737,521,1764,514
3225,635,2034,593
2275,659,1914,614
2636,468,1416,485
1755,280,664,254
3458,651,1465,621
1439,237,557,227
2327,642,799,335
1962,403,730,321
3166,700,1097,493
4754,1075,1366,690
3303,814,986,522
1491,408,98,48
1504,325,584,223
2354,514,775,380
2966,669,1007,465
5907,1257,2310,1001
2304,527,782,390
2248,535,927,427
4002,930,1614,731
5396,1182,1802,807
2267,601,756,276
2916,594,1870,432
2579,564,1155,431
2737,589,1128,533
2701,576,1245,513
1131,276,520,232
2683,416,1154,399
3253,573,1408,586
2115,342,927,337
3661,787,1613,706
4334,641,1777,661
3151,482,1335,428
2657,496,1426,483
4241,832,1929,742
1678,241,765,281
2678,483,1473,487
2994,741,1481,581
2656,506,1349,501
5897,1138,2728,1072
5735,932,2623,862
1740,391,850,317
2014,372,1027,356
3811,605,1518,568
1124,290,598,261
2566,449,1181,414
1751,316,765,296
2357,484,1110,442
1913,486,858,371
1739,425,945,362
2555,510,1347,467
18,3,8,6
2,2,6,2
1926,361,917,316
4849,920,2504,847
2630,502,1150,422
83,15,32,15
923,166,352,135
2180,416,960,370
873,175,422,159
7353,1482,3571,1308
2969,648,1644,570
1589,307,853,272
1184,316,672,241
4597,1009,2227,821
1507,293,761,278
2103,389,923,338
2370,540,1488,554
1069,296,569,263
1297,307,776,278
2992,573,1631,526
1671,368,821,337
4371,727,1932,654
9664,1692,3617,1370
2939,605,1167,446
8417,1657,4631,1468
3660,646,1243,482
4031,766,1539,564
3109,640,1457,620
4084,812,2033,668
1968,376,930,360
1170,290,602,266
1899,447,1133,391
1793,358,1233,351
1341,214,667,184
1190,217,717,196
1297,262,909,253
1639,352,1222,395
2358,580,2302,574
1959,484,1763,453
2185,469,1910,455
2783,678,2566,641
1401,317,1344,306
6145,1492,5666,1457
3815,924,3450,920
2888,753,2949,699
1016,202,540,187
1860,337,1123,347
1912,339,1002,311
1688,302,879,277
831,149,443,146
1549,269,819,272
1414,265,779,249
8363,1636,7679,1580
3252,614,1971,607
3400,618,1867,612
1287,291,737,269
3677,863,2191,785
4984,1029,2414,961
2202,471,1052,439
1846,391,1255,352
1717,277,903,289
1265,227,764,246
942,193,424,174
1006,212,515,200
1871,315,1066,309
479,84,327,103
544,112,442,106
1287,214,580,210
1185,221,676,256
1178,244,586,187
2440,433,1579,400
956,201,693,220
1090,164,470,158
3725,783,1478,600
1745,266,837,292
3148,568,1378,537
1724,374,947,391
2360,340,1055,312
3182,563,1525,585
1684,343,920,324
3674,734,1864,718
1765,310,746,298
1463,261,699,219
2928,600,1633,559
1492,284,926,264
1518,287,749,255
1338,276,859,286
1730,337,752,323
1869,357,832,315
2958,670,1504,627
3095,766,1852,721
1257,257,624,243
1059,268,693,241
592,121,268,116
1241,244,850,237
2048,373,1052,388
1623,409,988,395
2652,568,1532,445
1325,276,873,240
2739,535,1859,498
1147,202,717,212
1294,314,713,290
2205,523,1772,479
941,175,588,180
1513,314,1071,284
1847,371,1460,353
2673,452,1394,449
2011,349,970,300
207,45,171,50
752,159,524,155
2015,413,992,319
1382,327,1469,355
424,78,284,73
1093,262,893,252
1648,285,792,265
1267,290,1077,279
766,189,639,190
2004,385,1397,398
1461,400,1201,384
1729,317,737,278
1676,316,707,274
1548,308,1137,306
187,38,106,40
1293,272,694,229
333,92,198,55
1047,270,1505,286
156,39,171,37
2533,518,1371,461
1165,334,1119,308
1726,420,1371,388
2049,482,1387,422
48,8,13,8
259,53,131,38
411,114,26,19
1295,240,534,179
89,18,86,27
202,42,142,39
1314,277,649,232
1125,231,521,196
1098,193,353,145
380,69,225,72
1588,333,585,254
2483,544,835,380
341,64,146,57
681,120,272,105
1582,301,851,273
2202,484,1000,381
1236,238,601,261
1548,295,605,250
1128,229,621,210
3131,624,1591,568
789,208,295,108
2374,557,723,427
532,111,214,62
1927,427,810,321
3127,674,1015,448
2191,495,679,371
1798,395,685,331
1880,467,798,342
952,200,321,128
1601,323,661,269
1264,271,370,177
254,50,66,29
1618,395,425,244
2199,527,744,316
1446,329,594,255
3715,810,943,510
793,148,186,59
1177,224,181,105
4279,951,1596,666
975,219,337,155
2300,508,526,254
1856,472,703,292
1708,459,633,312
2230,538,832,359
1731,400,638,282
231,36,108,31
1657,390,572,301
1914,446,828,332
2507,577,1072,457
2143,580,898,367
883,187,326,136
1503,370,522,268
686,127,246,86
661,144,192,93
3844,969,1832,845
524,129,215,90
2554,540,723,319
4162,967,889,414
642,203,265,84
5175,971,2144,792
1245,234,517,187
41,18,94,10
1592,327,647,253
1580,318,753,252
289,49,191,54
1383,347,719,296
939,176,556,178
2067,384,904,333
1214,247,504,223
1318,296,567,276
712,140,293,100
640,134,268,90
2781,,890,310
4515,909,1554,528
304,63,161,61
1410,329,599,273
292,56,92,41
520,115,249,109
70,38,20,13
1177,240,519,199
2394,443,877,341
2589,482,1050,374
3639,637,1027,421
764,145,366,143
852,176,461,142
994,226,302,117
1425,323,727,287
531,126,231,96
102,17,43,13
1707,308,761,250
779,136,364,123
976,202,511,175
777,185,318,115
240,49,63,22
2635,667,280,132
890,167,406,154
683,139,302,111
5486,1044,1977,754
5343,,2503,902
2045,461,1121,402
1450,325,717,297
3240,652,1467,621
2081,478,1051,419
1741,424,987,383
4462,828,2229,777
3412,667,1873,590
1652,313,762,280
689,143,355,127
36,8,4198,7
3391,623,1529,571
1821,360,969,359
789,141,406,146
2399,518,1037,443
2335,518,1028,383
5205,859,2363,888
1079,207,486,167
3177,713,1845,612
2824,633,1619,573
2186,423,1145,439
2045,450,1166,407
2559,,1886,769
1988,594,1399,527
5568,1514,3565,1374
2489,454,1215,431
2091,360,879,326
2180,369,1050,390
779,143,371,150
699,150,358,143
2542,526,1278,493
3390,580,1543,576
1300,304,688,261
6434,1188,3540,1131
9259,1653,3963,1595
1260,222,638,229
1470,312,1047,284
1073,220,804,226
3258,610,1810,633
1446,274,759,291
1510,310,809,277
1065,214,605,183
2264,460,1124,388
1297,327,733,315
1797,363,948,363
3690,791,1804,715
3214,513,1700,533
3034,732,1776,702
604,108,314,113
1776,301,702,265
2795,460,1267,443
3677,573,1598,568
1643,489,1142,458
1442,285,859,292
1444,246,624,239
1882,453,1005,409
5106,1010,2310,957
4694,820,3566,777
4428,825,3152,836
6573,1480,6161,1473
3248,847,2608,731
1008,204,1162,215
1591,320,1818,306
1271,272,1338,266
2574,531,2609,472
3517,810,3134,847
822,200,1197,203
1999,427,2391,439
1209,341,1097,283
937,216,1216,212
674,153,808,173
1384,308,2054,301
1130,276,1533,269
1002,250,1312,249
1024,246,1371,239
1246,373,1990,369
1269,348,1835,335
777,187,1022,186
729,172,935,174
1545,341,1909,352
1447,335,1630,306
1788,521,2582,484
870,205,1065,222
973,221,1086,218
1789,424,2279,411
858,203,1250,204
2700,702,3444,679
4379,872,2560,853
1872,497,1927,432
280,84,483,87
827,192,981,184
1146,259,1173,272
3447,857,3663,817
2049,548,2243,541
1430,331,1502,312
2657,515,1948,532
5891,920,2882,911
6235,1286,3568,1190
6755,1443,4205,1395
3334,712,2919,718
6572,1105,3473,1067
3187,569,2205,559
3027,604,1970,590
4151,941,3163,915
3182,822,2661,746
1595,314,1181,327
1739,358,820,323
3481,641,1952,682
5777,1112,2917,1056
1532,287,977,275
2424,476,2291,419
2920,601,1460,598
2664,518,1468,521
2384,395,1697,402
1091,256,892,238
2495,551,2314,567
3668,890,3151,810
4256,987,3401,955
4516,611,1714,581
2535,389,1071,386
3508,585,1957,588
1024,145,357,147
7498,976,3189,955
6145,868,2710,875
4239,653,1890,631
1287,194,525,187
2272,320,868,312
4542,621,2144,597
2676,,2661,623
4085,919,3988,906
5481,780,2477,764
8879,,3468,1200
7665,999,3517,998
4423,622,1995,582
6995,1151,2907,1089
1527,332,1303,340
1663,302,1242,283
1549,264,881,289
2132,368,1128,341
1511,274,873,254
1444,282,523,270
1150,185,741,178
1231,222,702,222
2649,449,1303,437
1194,229,839,230
1579,300,1012,265
1576,282,1004,284
1865,463,1182,440
1111,275,1333,266
1701,419,1616,371
1724,311,992,315
1453,270,808,275
1637,300,894,302
1358,247,738,235
1394,254,761,262
2202,433,1135,407
2217,422,1064,427
1300,289,650,291
1898,344,1123,347
1770,296,938,304
2722,468,1164,419
1732,399,1120,401
1951,395,1040,375
1442,276,795,268
1865,335,1074,337
2088,383,960,362
4877,815,2521,781
3047,527,1578,507
2235,390,1148,416
3580,565,1694,524
1975,271,801,287
3787,771,1966,738
2276,429,1001,419
3204,538,1499,499
1931,298,948,314
3674,,1590,550
5303,838,2372,807
2309,300,931,302
1927,305,896,293
4960,592,1929,586
4018,536,1508,529
4919,661,2183,625
2831,510,1340,504
8850,2139,4717,1979
2472,354,1109,397
7849,1664,3561,1500
8389,1872,4483,1747
4054,712,2164,746
7384,845,2795,872
8146,1131,3562,1054
5406,895,2337,882
4759,924,1884,915
10860,1653,4178,1581
6154,1070,3010,1034
8295,1506,3903,1451
1376,225,670,205
2762,410,1166,439
897,142,263,110
3727,572,1724,530
5256,758,2474,780
8866,2355,5005,2194
6592,1525,4459,1463
1962,243,697,242
2980,362,1208,378
5098,778,2239,778
3239,647,1529,590
9716,2387,4992,2225
4679,609,1945,609
4883,769,2119,725
3215,529,1710,539
2406,432,1242,454
3275,648,1746,585
3907,773,2037,727
4407,1209,2676,1128
1917,314,1019,340
1969,339,950,340
6015,1464,3056,1347
4338,558,1514,549
5297,664,1986,657
3324,448,1190,423
3218,949,2295,876
1471,210,735,219
6331,1537,2957,1509
4631,1164,2360,1083
2718,719,3018,644
3422,601,1690,574
2131,543,1065,528
2639,378,1191,401
5751,1082,2230,1016
4409,1018,4579,1010
4580,918,2252,850
4617,1101,2891,1031
4039,984,2675,941
2193,513,1299,497
1753,342,1318,333
2094,380,1207,380
5363,1160,2783,1034
2692,477,1330,456
2405,661,1855,621
2621,412,1285,414
2871,470,1335,458
2707,446,1224,445
1971,316,917,307
2333,389,969,331
2411,380,1040,344
2634,412,1114,423
3082,573,1590,586
4373,683,2040,693
1756,314,899,288
8350,2717,9135,2452
1963,310,919,297
1762,263,761,292
3354,707,1752,650
4609,1499,5349,1377
6338,1768,4718,1632
921,239,1023,241
1181,220,775,218
1488,313,1221,296
1507,281,1025,286
1026,195,753,185
490,101,402,100
1102,212,949,212
1077,288,1377,293
2433,553,2318,532
325,60,433,83
1583,324,1481,351
2143,565,1803,497
9053,2193,7096,2038
5738,1767,4620,1581
3299,794,2343,647
1121,231,1038,236
1416,261,995,272
1488,293,1112,288
1660,301,1225,307
2344,435,1531,399
2478,457,1567,446
1807,323,1234,310
2049,390,1286,385
1379,265,896,246
1550,279,1011,288
1225,228,720,231
1737,369,1061,356
1279,241,987,233
1730,387,1099,353
1588,360,1080,340
1030,214,664,223
1529,344,913,314
2257,429,1418,442
2288,617,2222,566
1500,333,998,309
2057,601,2397,579
3442,1168,4625,1097
4393,1369,3781,1267
2609,786,1803,695
9902,2814,7307,2660
1191,266,718,248
1665,335,1011,343
1440,325,1014,322
1582,399,1159,378
2300,429,1447,455
3667,1209,2636,1054
1372,295,774,306
1220,222,729,230
2453,544,1753,506
2215,459,1594,446
972,181,554,187
2557,540,1556,491
1404,266,889,274
983,185,513,170
1283,246,594,236
1444,317,1177,311
1787,463,1671,448
125,42,63,29
2552,545,1850,503
3405,831,3001,795
1193,299,1184,320
1643,349,1414,337
2830,518,1577,524
1789,292,897,267
712,149,533,155
1790,334,1277,345
1869,441,1516,432
2807,868,2729,803
1176,344,864,318
1468,303,1295,300
1981,484,1665,466
3004,589,1938,568
2893,543,1636,540
161,48,66,33
1531,278,1064,274
1392,326,1181,303
2080,455,1939,484
2272,558,2164,484
2127,581,1989,530
362,100,348,102
2485,742,1994,670
1512,348,1545,351
1560,374,1668,389
337,65,198,50
715,145,730,158
4138,1171,3911,1068
2594,1028,3950,973
2034,470,1990,423
2199,609,2488,597
1363,395,1798,405
1438,309,1378,306
2921,685,1512,664
1471,423,995,386
2233,605,1934,599
1829,512,1345,500
2890,821,2203,705
2000,485,1439,461
1875,710,2555,657
2012,732,3483,731
2924,867,2751,836
1434,394,1667,404
993,285,1044,248
4859,1293,3351,1200
934,231,587,230
2392,655,1987,609
2180,599,1483,574
1169,242,612,247
2734,654,2209,610
3148,908,2850,839
779,145,450,148
2622,572,1997,573
3201,970,3403,948
3386,,2240,737
3353,790,2318,775
3285,830,2281,786
3760,880,2022,812
2887,646,1626,637
1323,353,856,333
2717,662,1546,597
2417,510,1102,507
1013,150,449,166
1106,225,595,228
1840,356,966,323
2008,513,1052,496
1993,425,939,400
521,126,306,129
1631,356,862,368
3724,899,1912,791
3588,911,1891,871
3794,989,2454,876
1957,389,985,414
3345,818,1599,773
477,91,220,112
904,191,627,191
1176,250,471,228
1354,284,501,262
2638,580,1150,551
3060,505,1159,510
2027,428,879,402
1308,289,950,302
2079,568,1396,526
4834,1527,3847,1432
1983,651,2251,574
1588,454,739,392
1696,372,835,385
1608,373,1217,374
1140,300,643,252
901,179,473,179
977,264,736,258
2949,794,2106,746
3553,1060,3129,1010
1109,354,1119,334
1939,505,1584,466
1713,416,1349,427
2785,663,1631,614
3277,648,1382,615
1975,384,882,406
3202,696,1573,621
2922,507,1130,485
1982,331,794,340
2459,489,1139,463
2050,478,850,490
1134,184,452,187
2795,602,1073,535
2235,363,914,370
4664,1040,1963,961
577,150,372,130
2769,566,1201,545
4443,1283,2421,1180
6347,,2945,1492
2790,748,1351,697
6429,1611,2806,1491
1582,279,603,283
1388,286,547,258
2016,622,1359,557
2609,593,1055,585
2197,501,944,474
2295,560,1543,528
3327,1011,2683,857
600,171,377,181
1431,473,1438,429
854,350,542,321
6526,2007,3298,1790
2606,748,1373,680
2450,618,1054,578
1973,382,774,352
2850,709,1510,670
2455,556,989,493
4150,1148,1808,1041
2901,871,1659,789
1755,335,822,342
2304,442,862,429
2245,393,783,402
4090,1271,2824,1053
2867,671,1955,640
1732,435,1198,417
5756,1477,4031,1369
2331,733,2172,707
3666,1150,2657,1090
2926,816,1867,802
2081,657,1456,535
2512,603,1805,584
3939,1143,2475,1002
2879,723,2077,649
2027,559,1545,513
3430,1214,3618,1092
1131,449,746,420
2087,571,1809,553
1109,206,515,202
1617,344,938,305
3831,1083,2258,967
2850,864,2249,777
5699,1594,3809,1381
2058,423,1132,423
4590,1477,2723,1195
3879,943,2113,843
1572,450,1039,455
2729,800,2099,742
4855,1350,2519,1258
1073,254,739,253
5992,1820,4826,1632
1491,295,779,309
3051,694,1942,679
2698,623,1544,554
1717,478,1628,495
2934,950,2517,889
3440,739,1827,712
1516,344,983,347
3487,959,2278,835
1599,459,1143,438
2052,568,1254,572
2077,496,1206,528
2891,951,2166,768
1546,592,2423,556
2479,900,2466,855
2516,826,3350,713
2582,719,2038,718
1104,196,495,196
1810,388,839,380
1843,442,861,417
1791,386,844,397
1819,465,1336,419
972,270,550,256
4966,1134,1941,958
2077,486,1021,450
3830,1105,2328,1017
2127,414,1056,391
1679,404,933,412
2180,424,906,429
777,102,284,113
2685,642,1085,599
2622,467,1233,476
3080,642,1362,623
1616,322,580,311
4982,1358,2237,1220
2152,527,996,470
3100,687,1388,658
2814,675,1463,620
6707,1737,2620,1610
2544,500,1035,492
2795,622,1173,545
2548,647,1098,540
6064,1826,4876,1697
2593,566,1596,547
1664,300,1000,309
1600,349,1012,366
2205,453,1242,419
2794,523,1334,472
1254,229,629,245
1656,310,817,308
1952,387,1156,392
2396,421,1064,398
1493,285,766,272
1275,222,959,226
1620,272,1052,248
2394,424,1490,427
1663,299,762,282
4101,849,2630,867
3124,796,1855,725
2592,490,1427,434
1843,329,1041,317
1286,242,788,248
1599,294,819,306
3910,838,2097,810
8327,1849,4126,1773
2891,594,1757,581
3270,818,2118,763
1668,332,807,311
1614,308,850,330
2066,434,1031,414
1328,287,823,273
1558,322,884,334
2327,479,1166,472
2871,581,1350,535
2537,418,1161,421
2182,409,1141,379
4249,933,2047,909
2720,490,1158,445
2156,509,1142,470
4315,1304,2490,1222
1795,346,1082,354
2221,662,1998,603
2549,651,1624,628
5862,,3161,1280
1963,420,1494,415
881,170,464,163
1560,275,763,284
1892,347,1039,343
2618,692,1961,633
2307,388,1168,427
4175,885,2118,778
1544,308,891,286
2273,,1431,403
782,144,425,140
1237,242,671,221
2579,561,1237,517
1366,224,719,270
3380,790,2199,737
1938,457,1280,425
978,170,475,192
1856,370,990,360
2642,696,1649,633
2335,669,1986,645
847,185,733,178
1389,252,826,249
2795,606,1702,586
4891,793,2447,765
3262,753,1879,708
6227,1317,3739,1226
2560,441,1428,468
2209,353,1034,344
1943,320,895,305
2389,521,1560,514
9512,2560,7282,2387
3494,557,1861,576
1636,275,866,289
3234,517,1597,513
2633,471,1313,428
1058,228,778,245
1718,467,896,475
2609,431,1208,406
3098,542,1486,492
3952,647,1762,588
4312,574,1902,574
5429,665,2315,687
7480,1084,3037,1058
3233,553,1678,545
7411,1045,2814,950
2737,868,2924,785
1789,,2300,677
2869,941,2162,829
2581,857,2004,784
1770,362,1083,355
878,167,499,179
7157,1869,4642,1699
2979,744,1824,692
2600,441,1246,426
2559,469,1358,445
1759,311,943,315
1558,267,793,249
1323,228,756,216
2185,372,986,347
2329,399,966,336
4286,1071,2863,1033
3061,1079,2173,1078
908,142,368,143
2421,402,1120,388
3124,468,1241,439
1934,307,905,315
1673,284,794,270
3824,749,1790,701
703,127,369,127
14912,4183,5105,3302
3568,591,1741,563
1646,242,697,233
2399,373,1062,377
3017,494,1423,470
3808,623,1784,615
3274,571,1424,521
1793,339,1016,326
2772,511,1346,497
7544,1031,3221,1043
4769,787,2019,743
6767,903,2574,883
2981,441,1243,413
2072,318,908,342
3393,574,1471,587
11853,2691,4404,2447
5944,1345,2372,1250
1491,355,756,296
3268,538,1463,519
5252,760,2041,730
4607,656,1769,643
6612,857,2519,843
1689,362,705,360
4491,815,1696,749
4364,647,1550,624
2896,455,1116,411
3346,487,1296,495
5661,791,2493,780
1950,383,870,357
6476,1082,2413,958
1887,359,761,329
3441,584,1283,544
3999,667,1628,631
5791,706,2059,673
3856,547,1422,535
2023,330,747,304
4570,744,1693,695
1303,155,450,145
3073,674,1486,684
1893,365,911,324
3252,834,1411,760
1700,380,930,349
2082,438,1047,393
1611,410,879,386
6430,1412,2897,1348
1080,174,386,160
3011,529,1287,525
1819,291,770,278
7214,1994,4100,1823
7194,1976,3687,1894
2458,433,1034,373
3352,891,1815,860
2127,297,761,274
2987,391,1244,387
17377,4457,7450,4204
2693,478,1219,435
3554,762,1623,750
11154,1995,4076,1809
2108,309,769,274
3333,488,1171,485
3547,523,1187,500
3104,387,1111,376
880,,369,155
2829,360,1010,363
3539,441,1190,421
4394,,1443,528
6748,904,2431,876
6920,906,2515,860
10111,1295,3599,1257
9657,1189,3585,1162
6270,1706,2549,1497
1293,214,459,217
2900,667,1090,590
1856,425,795,426
5474,1457,2352,1326
1778,251,641,251
4420,1076,1669,1016
1335,286,539,279
1387,337,713,343
7828,2038,3303,1922
1091,260,517,266
3876,799,1334,753
1495,300,598,280
4590,1200,2195,1139
6306,1473,2381,1299
3823,740,1449,612
804,117,267,110
2536,429,990,424
3507,536,1427,525
9320,1143,2980,1109
5264,771,1738,753
2873,420,850,379
3646,610,1390,607
1693,239,498,216
4400,695,1521,666
1741,274,588,267
1680,238,493,211
3545,698,1221,651
3659,921,1338,835
4604,1319,2391,1227
2630,617,1071,573
2358,546,1065,523
2933,619,1115,579
3110,650,1212,642
917,181,379,183
4084,1062,1637,987
3881,909,1535,846
4032,868,1695,869
680,131,268,126
1880,420,681,333
1861,430,736,360
277,70,119,59
54,9,20,6
2394,500,837,417
2515,510,967,484
3891,866,1568,830
1628,259,500,258
1376,317,629,320
4382,1560,2138,1411
4670,1161,1914,1094
1253,225,492,224
5076,1034,2021,960
2696,713,905,659
1610,278,511,278
3257,679,1237,638
6871,1180,2216,1130
1883,512,774,478
4287,627,1498,615
4624,781,1572,719
1965,354,666,357
8262,1156,2712,1125
1695,281,595,264
417,89,187,88
778,143,258,130
3990,892,1417,800
3830,518,1292,516
2298,406,1203,387
1388,271,735,239
3800,646,1842,620
2387,488,1181,456
1826,300,793,297
277,89,182,91
3657,708,1725,644
2983,526,1614,543
2090,466,1219,390
1681,407,1105,387
1908,628,1412,588
1941,378,1012,371
2525,523,1514,498
2012,458,1314,434
2035,459,2589,438
2465,611,1433,570
1585,420,949,366
791,174,501,162
2228,475,1311,452
1081,311,904,283
2397,488,1569,471
2568,672,1696,605
2640,737,1795,655
3376,720,1990,725
1309,302,883,293
679,132,483,163
2591,682,2366,583
1219,324,1036,282
2833,720,2148,709
3369,824,2032,795
2929,588,1931,574
1580,426,1462,406
1908,503,1557,453
1590,360,1127,321
1904,514,1666,498
1301,389,1189,361
678,173,791,186
3659,1068,4153,993
1901,525,1856,480
1565,398,1500,407
3387,820,2833,813
1266,348,1032,315
2524,749,2487,679
1523,391,753,298
1346,398,1204,344
1158,309,1051,322
1638,457,1155,437
1577,379,1317,378
1441,534,1809,500
2040,611,1698,545
3643,1197,4336,1163
2759,499,1661,533
1684,316,795,330
5077,1271,3348,1106
4003,788,2785,764
1051,249,799,229
2483,587,2121,553
2000,533,1234,535
1660,412,1678,382
1903,386,1187,340
1353,379,1536,416
1706,488,1941,447
1427,415,1835,410
1072,275,996,243
438,201,690,161
1162,235,781,268
737,166,462,131
2749,580,1375,511
609,149,407,145
